artists,name,ranking,year
Daniel Powter,BAD DAY,1,2006
Sean Paul,TEMPERATURE,2,2006
Nelly Furtado Featuring Timbaland,PROMISCUOUS,3,2006
James Blunt,YOU'RE BEAUTIFUL,4,2006
Shakira Featuring Wyclef Jean,HIPS DON'T LIE,5,2006
Natasha Bedingfield,UNWRITTEN,6,2006
Gnarls Barkley,CRAZY,7,2006
Chamillionaire Featuring Krayzie Bone,RIDIN',8,2006
Justin Timberlake,SEXYBACK,9,2006
Beyonce Featuring Slim Thug,CHECK ON IT,10,2006
Mary J. Blige,BE WITHOUT YOU,11,2006
"Nelly Featuring Paul Wall, Ali & Gipp",GRILLZ,12,2006
The Fray,OVER MY HEAD (CABLE CAR),13,2006
Cassie,ME & U,14,2006
The Pussycat Dolls Featuring Snoop Dogg,BUTTONS,15,2006
Chris Brown,RUN IT!,16,2006
Ne-Yo,SO SICK,17,2006
Yung Joc,IT'S GOIN' DOWN,18,2006
Rihanna,SOS,19,2006
Panic! At The Disco,I WRITE SINS NOT TRAGEDIES,20,2006
The All-American Rejects,MOVE ALONG,21,2006
Fergie,LONDON BRIDGE,22,2006
Red Hot Chili Peppers,DANI CALIFORNIA,23,2006
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,SNAP YO FINGERS,24,2006
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"LEAN WIT IT, ROCK WIT IT",25,2006
Rascal Flatts,WHAT HURTS THE MOST,26,2006
The Fray,HOW TO SAVE A LIFE,27,2006
Rihanna,UNFAITHFUL,28,2006
Snow Patrol,CHASING CARS,29,2006
Hinder,LIPS OF AN ANGEL,30,2006
Cascada,EVERYTIME WE TOUCH,31,2006
Christina Aguilera,AIN'T NO OTHER MAN,32,2006
Fall Out Boy,"DANCE, DANCE",33,2006
Kanye West Featuring Jamie Foxx,GOLD DIGGER,34,2006
Ludacris Featuring Pharrell,MONEY MAKER,35,2006
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,MS. NEW BOOTY,36,2006
Sean Paul Featuring Keyshia Cole,(WHEN YOU GONNA) GIVE IT UP TO ME,37,2006
Nickelback,PHOTOGRAPH,38,2006
Kelly Clarkson,BECAUSE OF YOU,39,2006
The Pussycat Dolls,STICKWITU,40,2006
T-Pain Featuring Mike Jones,I'M N LUV (WIT A STRIPPER),41,2006
The Black Eyed Peas,MY HUMPS,42,2006
Fort Minor Featuring Holly Brook,WHERE'D YOU GO,43,2006
Chris Brown,YO (EXCUSE ME MISS),44,2006
Kelly Clarkson,WALK AWAY,45,2006
D4L,LAFFY TAFFY,46,2006
T.I.,WHAT YOU KNOW,47,2006
The All-American Rejects,DIRTY LITTLE SECRET,48,2006
Nickelback,SAVIN' ME,49,2006
Mariah Carey,DON'T FORGET ABOUT US,50,2006
Ne-Yo,SEXY LOVE,51,2006
E-40 Featuring T-Pain & Kandi Girl,U AND DAT,52,2006
Nickelback,FAR AWAY,53,2006
Nick Lachey,WHAT'S LEFT OF ME,54,2006
Field Mob Featuring Ciara,SO WHAT,55,2006
Cherish Featuring Sean Paul Of The YoungBloodZ,DO IT TO IT,56,2006
KT Tunstall,BLACK HORSE & THE CHERRY TREE,57,2006
Juelz Santana,THERE IT GO! (THE WHISTLE SONG),58,2006
Young Dro Featuring T.I.,SHOULDER LEAN,59,2006
Jamie Foxx Featuring Ludacris,UNPREDICTABLE,60,2006
Justin Timberlake Featuring T.I.,MY LOVE,61,2006
Eminem Featuring Nate Dogg,SHAKE THAT,62,2006
Chingy Featuring Tyrese,PULLIN' ME BACK,63,2006
Kelis Featuring Too $hort,BOSSY,64,2006
Jibbs,CHAIN HANG LOW,65,2006
Akon Featuring Eminem,SMACK THAT,66,2006
Ray J,ONE WISH,67,2006
Fall Out Boy,"SUGAR, WE'RE GOIN' DOWN",68,2006
Chris Brown Featuring Lil' Wayne,GIMME THAT,69,2006
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I KNOW YOU SEE IT,70,2006
Bon Jovi,WHO SAYS YOU CAN'T GO HOME,71,2006
JoJo,TOO LITTLE TOO LATE,72,2006
Busta Rhymes,TOUCH IT,73,2006
Daddy Yankee,ROMPE,74,2006
Beyonce Featuring Jay-Z,DEJA VU,75,2006
Rascal Flatts,LIFE IS A HIGHWAY,76,2006
Evanescence,CALL ME WHEN YOU'RE SOBER,77,2006
Carrie Underwood,"JESUS, TAKE THE WHEEL",78,2006
Danity Kane,SHOW STOPPER,79,2006
Ciara Featuring Chamillionaire,GET UP,80,2006
Sean Paul,WE BE BURNIN',81,2006
Blue October,HATE ME,82,2006
Lifehouse,YOU AND ME,83,2006
The Pussycat Dolls Featuring will.i.am,BEEP,84,2006
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I THINK THEY LIKE ME,85,2006
Chris Brown,SAY GOODBYE,86,2006
John Mayer,WAITING ON THE WORLD TO CHANGE,87,2006
Young Jeezy Featuring Akon,SOUL SURVIVOR,88,2006
